"46.8561252196742, -23.3561973871075","46.9279904424038, -23.3561973871075","46.9279904424038, -23.2843321643779","46.8561252196742, -23.2843321643779"
"46.8561252196742, -23.4280626098371","46.9279904424038, -23.4280626098371","46.9279904424038, -23.3561973871075","46.8561252196742, -23.3561973871075"
"46.8561252196742, -23.4999278325666","46.9279904424038, -23.4999278325666","46.9279904424038, -23.4280626098371","46.8561252196742, -23.4280626098371"
"46.8561252196742, -23.5717930552962","46.9279904424038, -23.5717930552962","46.9279904424038, -23.4999278325666","46.8561252196742, -23.4999278325666"
"46.8561252196742, -23.6436582780258","46.9279904424038, -23.6436582780258","46.9279904424038, -23.5717930552962","46.8561252196742, -23.5717930552962"
"46.8561252196742, -23.7155235007553","46.9279904424038, -23.7155235007553","46.9279904424038, -23.6436582780258","46.8561252196742, -23.6436582780258"
"46.8561252196742, -23.7873887234849","46.9279904424038, -23.7873887234849","46.9279904424038, -23.7155235007553","46.8561252196742, -23.7155235007553"
"46.8561252196742, -23.8592539462144","46.9279904424038, -23.8592539462144","46.9279904424038, -23.7873887234849","46.8561252196742, -23.7873887234849"
"46.8561252196742, -23.931119168944","46.9279904424038, -23.931119168944","46.9279904424038, -23.8592539462144","46.8561252196742, -23.8592539462144"
"46.8561252196742, -24.0029843916736","46.9279904424038, -24.0029843916736","46.9279904424038, -23.931119168944","46.8561252196742, -23.931119168944"
"46.8561252196742, -24.1467148371327","46.9279904424038, -24.1467148371327","46.9279904424038, -24.0748496144031","46.8561252196742, -24.0748496144031"
"46.8561252196742, -24.2185800598623","46.9279904424038, -24.2185800598623","46.9279904424038, -24.1467148371327","46.8561252196742, -24.1467148371327"
"46.8561252196742, -24.2904452825918","46.9279904424038, -24.2904452825918","46.9279904424038, -24.2185800598623","46.8561252196742, -24.2185800598623"
"46.8561252196742, -24.3623105053214","46.9279904424038, -24.3623105053214","46.9279904424038, -24.2904452825918","46.8561252196742, -24.2904452825918"
